Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2014-11-26,29.75,16.678499221801758,27.386499404907227,77.62000274658203,47.75,0.5230000019073486,16.562667846679688
2014-11-28,29.732500076293945,16.93199920654297,27.45400047302246,77.69999694824219,47.810001373291016,0.5242499709129333,16.301332473754883
2014-12-01,28.767499923706055,16.299999237060547,26.982500076293945,75.0999984741211,48.619998931884766,0.5145000219345093,15.442667007446289
2014-12-02,28.657499313354492,16.315500259399414,26.929500579833984,75.45999908447266,48.459999084472656,0.515250027179718,15.428667068481445
2014-12-03,28.982500076293945,15.824999809265137,26.848499298095703,74.87999725341797,48.08000183105469,0.5285000205039978,15.286666870117188
2014-12-04,28.872499465942383,15.846500396728516,27.128999710083008,75.23999786376953,48.84000015258789,0.5237500071525574,15.218667030334473
2014-12-05,28.75,15.631500244140625,26.40399932861328,76.36000061035156,48.41999816894531,0.5267500281333923,14.913999557495117
2014-12-08,28.100000381469727,15.331999778747559,26.536500930786133,76.5199966430664,47.70000076293945,0.5199999809265137,14.290666580200195
2014-12-09,28.530000686645508,15.625,26.805500030517578,76.83999633789062,47.59000015258789,0.5182499885559082,14.459333419799805
2014-12-10,27.987499237060547,15.291999816894531,26.402000427246094,76.18000030517578,46.900001525878906,0.5067499876022339,13.989333152770996
2014-12-11,27.905000686645508,15.368000030517578,26.605499267578125,77.7300033569336,47.16999816894531,0.5065000057220459,13.925333023071289
2014-12-12,27.4325008392334,15.366000175476074,26.07550048828125,77.83000183105469,46.95000076293945,0.4907500147819519,13.800000190734863
2014-12-15,27.0575008392334,15.303500175476074,25.79199981689453,76.98999786376953,46.66999816894531,0.4892500042915344,13.602666854858398
2014-12-16,26.6875,14.753000259399414,24.908000946044922,74.69000244140625,45.15999984741211,0.48374998569488525,13.187333106994629
2014-12-17,27.352500915527344,14.944000244140625,25.322500228881836,76.11000061035156,45.7400016784668,0.5034999847412109,13.721332550048828
2014-12-18,28.162500381469727,14.886500358581543,25.731000900268555,78.4000015258789,47.52000045776367,0.5055000185966492,14.550666809082031
2014-12-19,27.94499969482422,14.994999885559082,26.00200080871582,79.87999725341797,47.65999984741211,0.5105000138282776,14.619333267211914
2014-12-22,28.235000610351562,15.32699966430664,26.614999771118164,81.44999694824219,47.97999954223633,0.5195000171661377,14.84000015258789
2014-12-23,28.135000228881836,15.314499855041504,26.938499450683594,80.61000061035156,48.45000076293945,0.5162500143051147,14.731332778930664
2014-12-24,28.002500534057617,15.15149974822998,26.846500396728516,80.7699966430664,48.13999938964844,0.5142499804496765,14.817333221435547
2014-12-26,28.497499465942383,15.454500198364258,27.076000213623047,80.77999877929688,47.880001068115234,0.5147500038146973,15.187999725341797
2014-12-29,28.477500915527344,15.60200023651123,26.86549949645996,80.0199966430664,47.45000076293945,0.5139999985694885,15.047332763671875
2014-12-30,28.1299991607666,15.515000343322754,26.763999938964844,79.22000122070312,47.02000045776367,0.5092499852180481,14.815333366394043
2014-12-31,27.594999313354492,15.517499923706055,26.533000946044922,78.0199966430664,46.45000076293945,0.5012500286102295,14.827333450317383
2015-01-02,27.332500457763672,15.425999641418457,26.477500915527344,78.44999694824219,46.7599983215332,0.503250002861023,14.620667457580566
2015-01-05,26.5625,15.10949993133545,25.972999572753906,77.19000244140625,46.33000183105469,0.4947499930858612,14.005999565124512
2015-01-06,26.565000534057617,14.76449966430664,25.332000732421875,76.1500015258789,45.650001525878906,0.47975000739097595,14.085332870483398
2015-01-07,26.9375,14.920999526977539,25.25749969482422,76.1500015258789,46.22999954223633,0.47850000858306885,14.063332557678223
2015-01-08,27.97249984741211,15.02299976348877,25.345500946044922,78.18000030517578,47.59000015258789,0.4964999854564667,14.041333198547363
2015-01-09,28.002500534057617,14.846500396728516,25.035999298095703,77.73999786376953,47.189998626708984,0.4984999895095825,13.77733325958252
2015-01-12,27.3125,14.570500373840332,24.85300064086914,76.72000122070312,46.599998474121094,0.492249995470047,13.480667114257812
2015-01-13,27.55500030517578,14.737000465393066,25.09000015258789,76.44999694824219,46.36000061035156,0.49149999022483826,13.616666793823242
2015-01-14,27.450000762939453,14.66349983215332,25.296499252319336,76.27999877929688,45.959999084472656,0.4934999942779541,12.845999717712402
2015-01-15,26.704999923706055,14.34749984741211,25.20050048828125,74.05000305175781,45.47999954223633,0.49000000953674316,12.791333198547363
2015-01-16,26.497499465942383,14.536999702453613,25.523000717163086,75.18000030517578,46.2400016784668,0.49900001287460327,12.871333122253418
2015-01-20,27.18000030517578,14.472000122070312,25.496999740600586,76.23999786376953,46.38999938964844,0.5005000233650208,12.795332908630371
2015-01-21,27.387500762939453,14.862500190734863,26.019500732421875,76.73999786376953,45.91999816894531,0.5074999928474426,13.104666709899902
2015-01-22,28.100000381469727,15.515999794006348,26.864999771118164,77.6500015258789,47.130001068115234,0.5162500143051147,13.441332817077637
2015-01-23,28.2450008392334,15.619500160217285,27.09749984741211,77.83000183105469,47.18000030517578,0.5177500247955322,13.419333457946777
2015-01-26,28.274999618530273,15.482999801635742,26.836000442504883,77.5,47.0099983215332,0.515500009059906,13.770000457763672
2015-01-27,27.28499984741211,15.337499618530273,26.059499740600586,75.77999877929688,42.65999984741211,0.4907500147819519,13.732000350952148
2015-01-28,28.827499389648438,15.195500373840332,25.62150001525879,76.23999786376953,41.189998626708984,0.4827499985694885,13.291333198547363
2015-01-29,29.725000381469727,15.58899974822998,25.661500930786133,78.0,42.0099983215332,0.4945000112056732,13.680000305175781
2015-01-30,29.290000915527344,17.726499557495117,26.877500534057617,75.91000366210938,40.400001525878906,0.47999998927116394,13.573332786560059
2015-02-02,29.657499313354492,18.223499298095703,26.610000610351562,74.98999786376953,41.279998779296875,0.49050000309944153,14.062666893005371
